"Nombre","Código ","Numero Municipio"
"GALÁN","68","68296"
"GÁMBITA","68","68298"
"GIRÓN","68","68307"
"GUACA","68","68318"
"GUADALUPE","68","68320"
"GUAPOTÁ","68","68322"
"GUAVATÁ","68","68324"
"GÜEPSA","68","68327"
"HATO","68","68344"
"JESÚS MARÍA","68","68368"
"JORDÁN","68","68370"
"LA BELLEZA","68","68377"
"LANDÁZURI","68","68385"
"LA PAZ","68","68397"
"LEBRIJA","68","68406"
"LOS SANTOS","68","68418"
"MACARAVITA","68","68425"
"MÁLAGA","68","68432"
"MATANZA","68","68444"
"MOGOTES","68","68464"
"MOLAGAVITA","68","68468"
"OCAMONTE","68","68498"
"OIBA","68","68500"
"ONZAGA","68","68502"
"PALMAR","68","68522"
"PALMAS DEL SOCORRO","68","68524"
"PÁRAMO","68","68533"
"PIEDECUESTA","68","68547"
"PINCHOTE","68","68549"
"PUENTE NACIONAL","68","68572"
"PUERTO PARRA","68","68573"
"PUERTO WILCHES","68","68575"
"RIONEGRO","68","68615"
"SABANA DE TORRES","68","68655"
"SAN ANDRÉS","68","68669"
"SAN BENITO","68","68673"
"SAN GIL","68","68679"
"SAN JOAQUÍN","68","68682"
"SAN JOSÉ DE MIRANDA","68","68684"
"SAN MIGUEL","68","68686"
"SAN VICENTE DE CHUCURÍ","68","68689"
"SANTA BÁRBARA","68","68705"
"SANTA HELENA DEL OPÓN","68","68720"
"SIMACOTA","68","68745"
"SOCORRO","68","68755"
"SUAITA","68","68770"
"SUCRE","68","68773"
"SURATÁ","68","68780"
"TONA","68","68820"
"VALLE DE SAN JOSÉ","68","68855"
"VÉLEZ","68","68861"
"VETAS","68","68867"
"VILLANUEVA","68","68872"
"ZAPATOCA","68","68895"
"SINCELEJO","70","70001"
"BUENAVISTA","70","70110"
"CAIMITO","70","70124"
"COLOSÓ","70","70204"
"COROZAL","70","70215"
"COVEÑAS","70","70221"
"CHALÁN","70","70230"
"EL ROBLE","70","70233"
"GALERAS","70","70235"
"GUARANDA","70","70265"
"LA UNIÓN","70","70400"
"LOS PALMITOS","70","70418"
"MAJAGUAL","70","70429"
"MORROA","70","70473"
"OVEJAS","70","70508"
"PALMITO","70","70523"
"SAMPUÉS","70","70670"
"SAN BENITO ABAD","70","70678"
"SAN JUAN DE BETULIA","70","70702"
"SAN MARCOS","70","70708"
"SAN ONOFRE","70","70713"
"SAN PEDRO","70","70717"
"SAN LUIS DE SINCÉ","70","70742"
"SUCRE","70","70771"
"SANTIAGO DE TOLÚ","70","70820"
"SAN JOSÉ DE TOLUVIEJO","70","70823"
"IBAGUÉ","73","73001"
"ALPUJARRA","73","73024"
"ALVARADO","73","73026"
"AMBALEMA","73","73030"
"ANZOÁTEGUI","73","73043"
"ARMERO","73","73055"
"ATACO","73","73067"
"CAJAMARCA","73","73124"
"CARMEN DE APICALÁ","73","73148"
"CASABIANCA","73","73152"
"CHAPARRAL","73","73168"
"COELLO","73","73200"
"COYAIMA","73","73217"
"CUNDAY","73","73226"
"DOLORES","73","73236"
"ESPINAL","73","73268"
"FALAN","73","73270"
"FLANDES","73","73275"
"FRESNO","73","73283"
"GUAMO","73","73319"
"HERVEO","73","73347"
"HONDA","73","73349"
"ICONONZO","73","73352"
"LÉRIDA","73","73408"
"LÍBANO","73","73411"
"SAN SEBASTIÁN DE MARIQUITA","73","73443"
"MELGAR","73","73449"
"MURILLO","73","73461"
"NATAGAIMA","73","73483"
"ORTEGA","73","73504"
"PALOCABILDO","73","73520"
"PIEDRAS","73","73547"
"PLANADAS","73","73555"
"PRADO","73","73563"
"PURIFICACIÓN","73","73585"
"RIOBLANCO","73","73616"
"RONCESVALLES","73","73622"
"ROVIRA","73","73624"
"SALDAÑA","73","73671"
"SAN ANTONIO","73","73675"
"SAN LUIS","73","73678"
"SANTA ISABEL","73","73686"
"SUÁREZ","73","73770"
"VALLE DE SAN JUAN","73","73854"
"VENADILLO","73","73861"
"VILLAHERMOSA","73","73870"
"VILLARRICA","73","73873"
"SANTIAGO DE CALI","76","76001"
"ALCALÁ","76","76020"
"ANDALUCÍA","76","76036"
"ANSERMANUEVO","76","76041"
"ARGELIA","76","76054"
"BOLÍVAR","76","76100"
"BUENAVENTURA","76","76109"
"GUADALAJARA DE BUGA","76","76111"
"BUGALAGRANDE","76","76113"
"CAICEDONIA","76","76122"
"CALIMA","76","76126"
"CANDELARIA","76","76130"
"CARTAGO","76","76147"
"DAGUA","76","76233"
"EL ÁGUILA","76","76243"
"EL CAIRO","76","76246"
"EL CERRITO","76","76248"
"EL DOVIO","76","76250"
"FLORIDA","76","76275"
"GINEBRA","76","76306"
"GUACARÍ","76","76318"
"JAMUNDÍ","76","76364"
"LA CUMBRE","76","76377"
"LA UNIÓN","76","76400"
"LA VICTORIA","76","76403"
"OBANDO","76","76497"
"PALMIRA","76","76520"
"PRADERA","76","76563"
"RESTREPO","76","76606"
"RIOFRÍO","76","76616"
"ROLDANILLO","76","76622"
"SAN PEDRO","76","76670"
"SEVILLA","76","76736"
"TORO","76","76823"
"TRUJILLO","76","76828"
"TULUÁ","76","76834"
"ULLOA","76","76845"
"VERSALLES","76","76863"
"VIJES","76","76869"
"YOTOCO","76","76890"
"YUMBO","76","76892"
"ZARZAL","76","76895"
"ARAUCA","81","81001"
"ARAUQUITA","81","81065"
"CRAVO NORTE","81","81220"
"FORTUL","81","81300"
"PUERTO RONDÓN","81","81591"
"SARAVENA","81","81736"
"TAME","81","81794"
"YOPAL","85","85001"
"AGUAZUL","85","85010"
"CHÁMEZA","85","85015"
"HATO COROZAL","85","85125"
"LA SALINA","85","85136"
"MANÍ","85","85139"
"MONTERREY","85","85162"
"NUNCHÍA","85","85225"
"OROCUÉ","85","85230"
"PAZ DE ARIPORO","85","85250"
"PORE","85","85263"
"RECETOR","85","85279"
"SABANALARGA","85","85300"
"SÁCAMA","85","85315"
"SAN LUIS DE PALENQUE","85","85325"
"TÁMARA","85","85400"
"TAURAMENA","85","85410"
"TRINIDAD","85","85430"
"VILLANUEVA","85","85440"
"MOCOA","86","86001"
"COLÓN","86","86219"
"ORITO","86","86320"
"PUERTO ASÍS","86","86568"
"PUERTO CAICEDO","86","86569"
"PUERTO GUZMÁN","86","86571"
"PUERTO LEGUÍZAMO","86","86573"
"SIBUNDOY","86","86749"
"SAN FRANCISCO","86","86755"
"SAN MIGUEL","86","86757"
"SANTIAGO","86","86760"
"VALLE DEL GUAMUEZ","86","86865"
"VILLAGARZÓN","86","86885"
"SAN ANDRÉS **","88","88001"
"PROVIDENCIA","88","88564"
"LETICIA","91","91001"
"EL ENCANTO","91","91263"
"LA CHORRERA","91","91405"
"LA PEDRERA","91","91407"
"LA VICTORIA","91","91430"
"MIRITÍ - PARANÁ","91","91460"
"PUERTO ALEGRÍA","91","91530"
"PUERTO ARICA","91","91536"
"PUERTO NARIÑO","91","91540"
"PUERTO SANTANDER","91","91669"
"TARAPACÁ","91","91798"
"INÍRIDA","94","94001"
"BARRANCOMINAS","94","94343"
"SAN FELIPE","94","94883"
"PUERTO COLOMBIA","94","94884"
"LA GUADALUPE","94","94885"
"CACAHUAL","94","94886"
"PANA PANA","94","94887"
"MORICHAL","94","94888"
"SAN JOSÉ DEL GUAVIARE","95","95001"
"CALAMAR","95","95015"
"EL RETORNO","95","95025"
"MIRAFLORES","95","95200"
"MITÚ","97","97001"
"CARURÚ","97","97161"
"PACOA","97","97511"
"TARAIRA","97","97666"
"PAPUNAHUA","97","97777"
"YAVARATÉ","97","97889"
"PUERTO CARREÑO","99","99001"
"LA PRIMAVERA","99","99524"
"SANTA ROSALÍA","99","99624"
"CUMARIBO","99","99773"
