"Nombre","Código ","Numero Municipio"
"AQUITANIA","15","15047"
"ARCABUCO","15","15051"
"BELÉN","15","15087"
"BERBEO","15","15090"
"BETÉITIVA","15","15092"
"BOAVITA","15","15097"
"BOYACÁ","15","15104"
"BRICEÑO","15","15106"
"BUENAVISTA","15","15109"
"BUSBANZÁ","15","15114"
"CALDAS","15","15131"
"CAMPOHERMOSO","15","15135"
"CERINZA","15","15162"
"CHINAVITA","15","15172"
"CHIQUINQUIRÁ","15","15176"
"CHISCAS","15","15180"
"CHITA","15","15183"
"CHITARAQUE","15","15185"
"CHIVATÁ","15","15187"
"CIÉNEGA","15","15189"
"CÓMBITA","15","15204"
"COPER","15","15212"
"CORRALES","15","15215"
"COVARACHÍA","15","15218"
"CUBARÁ","15","15223"
"CUCAITA","15","15224"
"CUÍTIVA","15","15226"
"CHÍQUIZA","15","15232"
"CHIVOR","15","15236"
"DUITAMA","15","15238"
"EL COCUY","15","15244"
"EL ESPINO","15","15248"
"FIRAVITOBA","15","15272"
"FLORESTA","15","15276"
"GACHANTIVÁ","15","15293"
"GÁMEZA","15","15296"
"GARAGOA","15","15299"
"GUACAMAYAS","15","15317"
"GUATEQUE","15","15322"
"GUAYATÁ","15","15325"
"GÜICÁN DE LA SIERRA","15","15332"
"IZA","15","15362"
"JENESANO","15","15367"
"JERICÓ","15","15368"
"LABRANZAGRANDE","15","15377"
"LA CAPILLA","15","15380"
"LA VICTORIA","15","15401"
"LA UVITA","15","15403"
"VILLA DE LEYVA","15","15407"
"MACANAL","15","15425"
"MARIPÍ","15","15442"
"MIRAFLORES","15","15455"
"MONGUA","15","15464"
"MONGUÍ","15","15466"
"MONIQUIRÁ","15","15469"
"MOTAVITA","15","15476"
"MUZO","15","15480"
"NOBSA","15","15491"
"NUEVO COLÓN","15","15494"
"OICATÁ","15","15500"
"OTANCHE","15","15507"
"PACHAVITA","15","15511"
"PÁEZ","15","15514"
"PAIPA","15","15516"
"PAJARITO","15","15518"
"PANQUEBA","15","15522"
"PAUNA","15","15531"
"PAYA","15","15533"
"PAZ DE RÍO","15","15537"
"PESCA","15","15542"
"PISBA","15","15550"
"PUERTO BOYACÁ","15","15572"
"QUÍPAMA","15","15580"
"RAMIRIQUÍ","15","15599"
"RÁQUIRA","15","15600"
"RONDÓN","15","15621"
"SABOYÁ","15","15632"
"SÁCHICA","15","15638"
"SAMACÁ","15","15646"
"SAN EDUARDO","15","15660"
"SAN JOSÉ DE PARE","15","15664"
"SAN LUIS DE GACENO","15","15667"
"SAN MATEO","15","15673"
"SAN MIGUEL DE SEMA","15","15676"
"SAN PABLO DE BORBUR","15","15681"
"SANTANA","15","15686"
"SANTA MARÍA","15","15690"
"SANTA ROSA DE VITERBO","15","15693"
"SANTA SOFÍA","15","15696"
"SATIVANORTE","15","15720"
"SATIVASUR","15","15723"
"SIACHOQUE","15","15740"
"SOATÁ","15","15753"
"SOCOTÁ","15","15755"
"SOCHA","15","15757"
"SOGAMOSO","15","15759"
"SOMONDOCO","15","15761"
"SORA","15","15762"
"SOTAQUIRÁ","15","15763"
"SORACÁ","15","15764"
"SUSACÓN","15","15774"
"SUTAMARCHÁN","15","15776"
"SUTATENZA","15","15778"
"TASCO","15","15790"
"TENZA","15","15798"
"TIBANÁ","15","15804"
"TIBASOSA","15","15806"
"TINJACÁ","15","15808"
"TIPACOQUE","15","15810"
"TOCA","15","15814"
"TOGÜÍ","15","15816"
"TÓPAGA","15","15820"
"TOTA","15","15822"
"TUNUNGUÁ","15","15832"
"TURMEQUÉ","15","15835"
"TUTA","15","15837"
"TUTAZÁ","15","15839"
"ÚMBITA","15","15842"
"VENTAQUEMADA","15","15861"
"VIRACACHÁ","15","15879"
"ZETAQUIRA","15","15897"
"MANIZALES","17","17001"
"AGUADAS","17","17013"
"ANSERMA","17","17042"
"ARANZAZU","17","17050"
"BELALCÁZAR","17","17088"
"CHINCHINÁ","17","17174"
"FILADELFIA","17","17272"
"LA DORADA","17","17380"
"LA MERCED","17","17388"
"MANZANARES","17","17433"
"MARMATO","17","17442"
"MARQUETALIA","17","17444"
"MARULANDA","17","17446"
"NEIRA","17","17486"
"NORCASIA","17","17495"
"PÁCORA","17","17513"
"PALESTINA","17","17524"
"PENSILVANIA","17","17541"
"RIOSUCIO","17","17614"
"RISARALDA","17","17616"
"SALAMINA","17","17653"
"SAMANÁ","17","17662"
"SAN JOSÉ","17","17665"
"SUPÍA","17","17777"
"VICTORIA","17","17867"
"VILLAMARÍA","17","17873"
"VITERBO","17","17877"
"FLORENCIA","18","18001"
"ALBANIA","18","18029"
"BELÉN DE LOS ANDAQUÍES","18","18094"
"CARTAGENA DEL CHAIRÁ","18","18150"
"CURILLO","18","18205"
"EL DONCELLO","18","18247"
"EL PAUJÍL","18","18256"
"LA MONTAÑITA","18","18410"
"MILÁN","18","18460"
"MORELIA","18","18479"
"PUERTO RICO","18","18592"
"SAN JOSÉ DEL FRAGUA","18","18610"
"SAN VICENTE DEL CAGUÁN","18","18753"
"SOLANO","18","18756"
"SOLITA","18","18785"
"VALPARAÍSO","18","18860"
